Symbol,beta,dy,pe,roe
BLD,0.30330102170390816,nan,13.74878,0.31181
BJRI,0.1725726376440373,nan,31.592236,0.012
C,0.3930187723460645,0.0434,7.354687,0.07606
BRKL,0.35674339136279204,0.0547,6.8142858,nan
CABO,0.38102707818863996,0.017,12.793691,0.13186
AVTR,0.3204108604005442,nan,12.251572,0.15167
CELU,0.04419868471277613,nan,-0.8089041,0.09515
APM,0.00939354829874506,nan,-3.5633802,-0.60503
AIRI,0.09938263584708099,nan,13.990769,0.08587
COST,0.6027388239792068,0.0081,32.113594,0.28428
CRESY,0.14162989537634862,0.024500001,2.8173516,0.03639
AMTX,0.035527061965251794,nan,-2.96,nan
AMK,0.3931904736353208,nan,12.677686,0.0967
AXGN,0.17067203681446766,nan,-53.058826,-0.27111
A,0.5930282199191702,0.0068,21.531,0.24584
CCNE,0.3030290886768786,0.038,6.6524825,0.13253
BACK,0.00967947044462494,nan,-0.83437496,-1.62029
CHEK,0.01128293411378628,nan,-1.0461539,-0.41537997
AIT,0.3508871057712422,0.0106,15.96,0.26299998
AMX,0.4248662481517425,0.0304,12.073033,nan
AADI,0.041253671821264395,nan,-3.0312502,-0.41056
CME,0.4694984456594112,0.0234,20.849607,nan
ADMA,0.08215921442204832,nan,55.833332,-0.44963002
CVU,0.09302195827067919,nan,8.48718,nan
ARCO,0.25614495930929176,0.020299999,9.566265,0.51658
AMEH,0.16608028706099945,nan,23.660002,0.09317
ARCB,0.24481951412301145,0.0055,8.324515,0.28667
BE,0.11873546959478982,nan,40.609756,-1.07567
AIZ,0.4366037732167104,0.024,9.1275015,0.05707
COST,0.6027386396078512,0.0081,32.113594,0.28428
ADI,0.5134143305181641,0.019,16.442413,0.09275
CMA,0.2675799000834993,0.0698,5.567394,0.19739
AXON,0.24549017625972738,nan,56.49062,0.12704
ASX,0.3683296371101064,nan,7.8850574,nan
AIG,0.3545693394878655,0.0252,7.2459016,0.2029
ASPN,0.13948569062653554,nan,-14.904763,-0.28736
CVLT,0.3494951583230722,nan,22.585272,0.06118
APPN,0.14063535085180617,nan,-52.152775,-0.79512
AEL,0.2300434825640872,0.0097,6.554422,0.25675
CAH,0.4247717021876688,0.024500001,12.828125,nan
ADNT,0.21262254914895534,nan,9.120987,0.008719999
AB,0.35711221151367695,0.0865,11.205129,0.14840999
CWBC,0.1017092584872617,0.0255,10.214875,0.12568
AAON,0.31519735791353454,0.0050999997,31.21019,0.19549999
ASH,0.5184964041306226,0.0135,14.433239,0.06282
AMPE,0.0146670403733908,nan,-2.6,-0.83623004
CDNS,0.4679118435069517,nan,36.875,0.30009001
BECN,0.32085492685996314,nan,9.330233,0.20306
APTO,0.08144393368702876,nan,-0.94647056,-0.74698997
BKCC,0.17407376240530664,0.1246,7.1111116,0.01044
CHRS,0.19755796344585222,nan,10.632353,nan
BFI,0.06537737989085456,nan,-1.5873016,-0.82017
BCSF,0.32584866633127607,0.1329,7.0119762,0.09518
CHEF,0.14216833843655213,nan,19.225431,0.07383
CPB,0.26979779303669976,0.0271,17.292994,0.23386
CADE,0.3284458143249616,0.0464,7.4065933,0.09401
AEP,0.5041416080502258,0.036,16.44484,0.09852
CIEN,0.3739001316600404,nan,12.579235,0.06486
BKI,0.4135775118785372,nan,21.015385,0.15254
CTLT,0.27084420437006046,nan,16.596025,0.087299995
AREN,0.025021532834127,nan,-3.2539682,nan
BPT,0.05620502925623561,0.4976,1.7418545,14.159821
BRX,0.2936596374279846,0.0504,23.966293,0.12687
ABEV,0.2566862606283989,0.0521,17.5,0.17797
CTMX,0.10070007131221166,nan,-1.7912087,nan
BRSP,0.1681691183981448,0.14039999,5.816326,0.03249
AMN,0.18541811670122615,nan,10.267539,0.40263999
ABT,0.5629401976818676,0.0186,23.963123,nan
BL,0.2625300445334787,nan,48.025864,-0.13847
CNF,0.03760823738645987,nan,88.14667,0.03574
BPT,0.05620507799329598,0.4976,1.7418545,14.159821
AKRO,0.046152693284844386,nan,-12.819485,-0.45205003
AQN,0.4217042415800494,0.051999997,13.967214,-0.041479997
ARDX,0.0735961035993739,nan,20.272728,-0.74284
CI,0.4294635912440784,0.0194,8.9691925,0.14644
AVTX,0.07364392993334168,nan,-1.0467626,-6.8477
CTRA,0.21575169593694973,0.081499994,8.619529,0.33241
BSGM,0.05674594953496399,nan,-3.8437502,-4.20645
AVNT,0.2914850972726648,0.026300002,12.922818,0.040110003
CTMX,0.10070009006919663,nan,-1.7912087,nan
BLMN,0.21922376240283106,0.0414,7.913738,0.43965998
CMCO,0.3625177186651789,0.0084,11.726351,0.05957
CLX,0.20151709550386854,0.028399998,30.727272,0.90630996
BLNK,0.07719769612240507,nan,-4.6000004,-0.38569
CPS,0.09820818903362251,nan,-14.944445,-1.007
CHW,0.574588976735967,0.1029,5.7427187,-0.39492
ASH,0.5184960335059811,0.0135,14.433239,0.06282
CMMB,0.025784972788519968,nan,-21.285715,-0.566
ADMA,0.08215908657826959,nan,55.833332,-0.44963002
CCEP,0.40991637576545753,0.030199999,14.958237,0.20754999
ATHX,0.019124576312569284,nan,-0.89599997,nan
AEYE,0.06451413289602656,nan,-19.935484,-0.7403
AJX,0.14834433015749005,0.1495,6.926316,-0.03565
AYI,0.35537049805554993,0.0034,11.631929,0.18716998
CPIX,0.0147857233533026,nan,12.214286,-0.14380999
CALM,0.18140536083191058,0.1038,8.037226,0.58949
BKCC,0.17407349636544517,0.1246,7.1111116,0.01044
AVT,0.45143060322573997,0.0287,7.8590474,0.19885999
ATEC,0.18715117756058194,nan,-17.82716,-3.3842802
AMD,0.2971797624023885,nan,20.7355,0.04241
ATGE,0.23744481626293706,nan,9.158014,0.026870001
ATKR,0.20381661734003892,nan,7.679635,0.79551005
BKTI,0.056268799328365975,nan,123.82182,-0.44104
CRI,0.356028785808056,0.0442,11.004731,0.28631002
BCSF,0.3258483680146412,0.1329,7.0119762,0.09518
APLT,0.084563961685476,nan,-1.25,-2.47772
AZPN,0.2720920713891435,nan,26.696833,nan
CNHI,0.3431352812373602,0.028900001,7.966102,0.29489002
CMS,0.5013757614087218,0.0311,18.640718,0.10945
AMBA,0.21833162133893197,nan,121.52941,-0.11339
AMBA,0.21833185796632715,nan,121.52941,-0.11339
ACCO,0.25860958084883096,0.0683,3.367647,-0.015759999
CELC,0.061744054345774665,nan,-3.9806204,-0.39875
AQST,0.09348622433700036,nan,-1.5764706,nan
AMSF,0.3953270593206312,0.0256,19.189655,0.15515
AXSM,0.07545604662058718,nan,-100.74648,-2.98967
AMRS,0.07791489432532167,nan,-1.7395746,nan
CMC,0.32960622024868524,0.0138,8.427797,0.31344
BABA,0.1659323271392002,nan,9.701032,0.02283
